,student_ids,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,target
0,117553,7,0,5,0,1
1,118265,2,0,9,9,1
2,117858,5,12,10,12,1
3,116622,8,0,0,1,1
4,116270,0,0,5,16,1
5,127515,1,0,3,0,1
6,150306,3,2,5,1,1
7,117422,1,0,0,0,1
8,117541,0,1,0,11,1
9,152906,5,0,4,0,1
10,118171,6,0,2,1,1
11,135610,3,0,13,1,1
12,117435,2,0,7,2,1
13,118263,1,2,2,7,1
14,115257,0,1,2,0,1
15,118506,1,0,0,0,1
16,117835,3,0,2,0,1
17,117558,2,0,5,11,1
18,119804,1,0,0,0,1
19,124316,3,1,4,13,1
20,115273,2,1,4,0,1
21,117468,1,0,3,1,1
22,148451,1,0,0,1,1
23,117560,0,1,2,0,1
24,117561,0,0,0,0,1
25,116672,8,14,0,10,1
26,131340,0,0,1,2,1
27,117916,1,9,3,18,1
28,123726,10,5,3,16,1
29,117562,12,0,7,2,1
30,118471,5,1,7,1,1
31,118147,5,1,2,18,1
32,117122,0,2,2,1,1
33,117563,1,1,0,2,1
34,125558,5,0,2,0,1
35,118502,0,0,0,7,1
36,141419,4,0,7,1,1
37,116062,5,3,10,15,1
38,143681,4,0,2,0,1
39,118798,0,0,3,1,1
40,113361,7,0,0,0,1
41,116744,2,5,0,3,1
42,146702,9,1,4,0,1
43,117665,0,1,3,6,1
44,118247,1,5,1,4,1
45,118503,1,6,0,8,1
46,118019,5,2,8,14,1
47,127392,2,1,7,15,1
48,117424,6,1,1,18,1
49,117582,0,1,0,1,1
50,127172,8,7,8,8,1
51,134673,3,1,3,1,1
52,122317,8,0,13,0,1
53,120456,3,3,2,5,1
54,118031,0,0,3,1,1
55,117483,0,0,4,4,1
56,119553,2,3,5,9,1
57,117464,6,0,5,4,1
58,120503,0,1,4,0,1
59,140852,0,0,0,0,1
60,115360,2,2,1,0,1
61,117692,0,0,0,0,1
62,155847,0,0,4,0,1
63,127512,2,0,12,3,1
64,117585,5,0,6,0,1
65,117897,0,1,0,0,1
66,123065,3,21,3,24,1
67,126850,1,0,1,5,1
68,118782,5,0,3,1,1
69,117512,8,1,4,0,1
70,145447,15,2,13,11,1
71,117861,3,0,1,3,1
72,122926,2,1,3,1,1
73,117761,0,0,0,1,1
74,122794,1,0,1,1,1
75,117419,2,0,0,0,1
76,143862,8,0,3,1,1
77,117917,1,3,5,11,1
78,139896,10,1,8,0,1
79,117646,2,0,2,0,1
80,131475,16,2,15,26,1
81,117599,13,4,10,10,1
82,118223,6,0,5,1,1
83,118224,1,0,1,0,1
84,117465,1,0,1,1,1
85,148751,4,0,3,1,1
86,116757,7,0,8,1,1
87,122019,3,0,3,0,1
88,123629,3,0,7,2,1
89,122952,2,1,4,1,1
90,123118,2,1,3,0,1
91,128797,0,1,0,2,1
92,128218,7,1,6,2,1
93,118374,14,8,10,1,1
94,119257,0,0,0,0,1
95,117848,6,7,6,21,1
96,117824,0,0,2,0,1
97,115457,0,0,2,1,1
98,136556,3,0,2,0,1
99,124809,5,1,7,1,1
100,118186,8,2,9,12,1
101,117522,1,0,6,4,1
102,117684,2,0,1,0,1
103,122134,2,2,6,9,1
104,126769,0,0,2,2,1
105,126653,1,0,0,0,1
106,122871,3,2,1,9,1
107,117875,2,0,1,1,1
108,116646,0,0,0,0,1
109,143054,8,3,5,7,1
110,122097,13,7,5,19,1
111,117976,1,0,3,2,1
112,116412,3,2,0,1,1
113,122140,3,5,10,11,1
114,137955,2,0,2,0,1
115,117619,0,3,10,0,1
116,123030,10,0,11,0,1
117,117617,0,1,0,8,1
118,117674,0,0,1,1,1
119,117725,11,0,7,10,1
120,118500,6,0,10,0,1
121,117622,0,0,1,4,1
122,142855,18,0,16,4,1
123,122869,0,0,2,1,1
124,134904,3,0,4,4,1
125,122968,10,0,12,1,1
126,122955,4,0,6,1,1
127,117634,4,1,8,0,1
128,145265,0,0,2,0,1
129,118078,0,1,0,5,1
130,121869,4,0,1,0,1
131,117912,1,1,7,2,1
132,117487,5,4,1,5,1
133,119424,0,0,0,1,1
