,student_ids,Gender,target
0,117553,'M',1
1,118265,'M',1
2,117858,'F',1
3,116622,'M',1
4,116270,'F',1
5,127515,'F',1
6,150306,'M',1
7,117422,'F',1
8,117541,'M',1
9,152906,'F',1
10,118171,'F',1
11,135610,'F',1
12,117435,'F',1
13,118263,'M',1
14,115257,'F',1
15,118506,'M',1
16,117835,'F',1
17,117558,'F',1
18,119804,'F',1
19,124316,'F',1
20,115273,'M',1
21,117468,'M',1
22,148451,'F',1
23,117560,'F',1
24,117561,'M',1
25,116672,'M',1
26,131340,'F',1
27,117916,'M',1
28,123726,'M',1
29,117562,'F',1
30,118471,'F',1
31,118147,'F',1
32,117122,'F',1
33,117563,'F',1
34,125558,'M',1
35,118502,'F',1
36,141419,'F',1
37,116062,'F',1
38,143681,'F',1
39,118798,'F',1
40,113361,'M',1
41,116744,'F',1
42,146702,'F',1
43,117665,'F',1
44,118247,'F',1
45,118503,'F',1
46,118019,'F',1
47,127392,'F',1
48,117424,'F',1
49,117582,'F',1
50,127172,'M',1
51,134673,'M',1
52,122317,'F',1
53,120456,'F',1
54,118031,'M',1
55,117483,'F',1
56,119553,'F',1
57,117464,'F',1
58,120503,'F',1
59,140852,'F',1
60,115360,'M',1
61,117692,'F',1
62,155847,'M',1
63,127512,'M',1
64,117585,'M',1
65,117897,'M',1
66,123065,'M',1
67,126850,'F',1
68,118782,'F',1
69,117512,'F',1
70,145447,'F',1
71,117861,'F',1
72,122926,'M',1
73,117761,'F',1
74,122794,'M',1
75,117419,'F',1
76,143862,'F',1
77,117917,'F',1
78,139896,'M',1
79,117646,'F',1
80,131475,'F',1
81,117599,'F',1
82,118223,'F',1
83,118224,'F',1
84,117465,'F',1
85,148751,'F',1
86,116757,'M',1
87,122019,'M',1
88,123629,'M',1
89,122952,'F',1
90,123118,'F',1
91,128797,'F',1
92,128218,'M',1
93,118374,'M',1
94,119257,'M',1
95,117848,'F',1
96,117824,'M',1
97,115457,'M',1
98,136556,'F',1
99,124809,'M',1
100,118186,'M',1
101,117522,'F',1
102,117684,'M',1
103,122134,'F',1
104,126769,'M',1
105,126653,'M',1
106,122871,'M',1
107,117875,'F',1
108,116646,'F',1
109,143054,'M',1
110,122097,'F',1
111,117976,'F',1
112,116412,'F',1
113,122140,'F',1
114,137955,'M',1
115,117619,'M',1
116,123030,'M',1
117,117617,'M',1
118,117674,'F',1
119,117725,'M',1
120,118500,'F',1
121,117622,'F',1
122,142855,'M',1
123,122869,'F',1
124,134904,'F',1
125,122968,'M',1
126,122955,'M',1
127,117634,'M',1
128,145265,'F',1
129,118078,'F',1
130,121869,'F',1
131,117912,'F',1
132,117487,'F',1
133,119424,'F',1
134,126101,'F',1
135,117783,'M',1
136,117495,'F',1
137,117810,'F',1
138,117676,'M',1
139,122094,'M',1
140,117442,'F',1
141,117497,'F',1
142,118195,'F',1
143,124368,'M',1
144,126842,'M',1
145,126844,'M',1
146,118254,'M',1
147,117639,'F',1
148,117915,'F',1
149,117831,'F',1
150,118955,'M',1
151,117918,'F',1
152,123192,'M',1
153,138653,'F',1
154,117723,'M',1
155,119770,'M',1
156,127186,'F',1
157,121404,'M',1
158,121104,'F',1
159,117819,'F',1
160,118253,'F',1
161,118000,'M',1
162,127006,'F',1
163,122361,'F',1
164,117806,'M',1
165,117441,'F',1
166,117502,'F',1
167,127657,'F',1
168,117485,'M',1
169,122902,'M',1
170,117548,'F',1
171,117817,'F',1
172,117759,'F',1
173,126590,'F',1
174,118725,'F',1
175,126534,'F',1
176,118024,'F',1
177,115841,'F',1
178,122963,'F',1
179,120166,'F',1
180,128507,'M',1
181,117651,'M',1
182,117670,'F',1
183,117503,'F',1
184,116449,'M',1
185,118359,'M',1
186,128772,'M',1
187,118889,'M',1
188,118168,'F',1
189,117452,'M',1
190,118681,'F',1
191,117514,'F',1
192,121102,'M',1
193,117765,'F',1
194,131183,'F',1
195,116507,'F',1
196,118150,'F',1
197,145284,'F',1
198,115598,'M',1
199,134689,'F',1
200,132613,'F',1
201,140983,'F',1
202,117746,'F',1
203,117707,'F',1
204,117431,'F',1
205,118005,'F',1
206,117704,'M',1
207,118251,'M',1
208,118812,'F',1
209,117454,'F',1
210,117149,'F',1
211,117505,'F',1
212,117739,'F',1
213,118015,'M',1
214,117318,'M',1
215,115686,'F',1
216,117524,'F',1
217,122906,'M',1
218,117857,'F',0
219,132134,'M',0
220,124402,'F',0
221,118270,'F',0
222,139405,'M',0
223,117713,'F',0
224,115228,'M',0
225,127545,'M',0
226,140285,'M',0
227,127477,'M',0
228,159804,'F',0
229,156972,'M',0
230,117461,'F',0
231,146152,'F',0
232,138274,'M',0
233,147010,'M',0
234,118123,'M',0
235,116828,'F',0
236,140119,'F',0
237,118030,'F',0
238,156525,'M',0
239,131454,'M',0
240,118354,'M',0
241,151503,'F',0
242,124159,'M',0
243,144663,'F',0
244,121844,'F',0
245,145508,'M',0
246,145507,'M',0
247,117510,'F',0
248,115256,'M',0
249,115258,'F',0
250,152299,'M',0
251,117542,'F',0
252,117543,'F',0
253,115764,'F',0
254,117097,'M',0
255,122088,'F',0
256,144403,'F',0
257,158817,'F',0
258,123855,'M',0
259,115263,'M',0
260,157768,'M',0
261,118062,'M',0
262,118074,'F',0
263,149029,'M',0
264,145281,'M',0
265,159259,'F',0
266,116296,'M',0
267,117843,'F',0
268,160117,'F',0
269,117879,'M',0
270,115280,'F',0
271,123511,'M',0
272,144308,'M',0
273,122283,'M',0
274,118022,'M',0
275,143480,'M',0
276,117894,'M',0
277,116304,'M',0
278,136097,'M',0
279,118478,'F',0
280,122098,'M',0
281,159022,'M',0
282,160755,'M',0
283,117056,'M',0
284,159053,'F',0
285,142754,'M',0
286,117564,'M',0
287,155934,'F',0
288,159366,'M',0
289,132303,'M',0
290,153054,'F',0
291,121560,'M',0
292,117565,'F',0
293,118507,'F',0
294,117729,'M',0
295,117900,'F',0
296,157280,'F',0
297,141762,'M',0
298,132806,'F',0
299,115952,'M',0
300,135149,'M',0
301,158926,'F',0
302,117567,'F',0
303,126687,'M',0
304,145724,'M',0
305,159123,'M',0
306,134935,'M',0
307,154855,'M',0
308,118262,'F',0
309,151264,'M',0
310,131386,'M',0
311,154708,'M',0
312,119652,'F',0
313,160853,'M',0
314,155853,'M',0
315,118637,'F',0
316,132257,'F',0
317,123735,'M',0
318,156661,'F',0
319,153244,'M',0
320,117575,'F',0
321,126766,'M',0
322,141764,'M',0
323,126373,'F',0
324,115319,'M',0
325,141460,'M',0
326,118842,'F',0
327,136615,'F',0
328,150086,'M',0
329,131614,'M',0
330,115883,'M',0
331,118066,'M',0
332,118070,'M',0
333,131197,'M',0
334,160302,'F',0
335,118029,'M',0
336,138419,'M',0
337,115326,'F',0
338,127059,'F',0
339,157102,'M',0
340,117809,'F',0
341,116736,'M',0
342,116873,'M',0
343,144769,'F',0
344,118809,'F',0
345,118248,'F',0
346,117578,'M',0
347,118076,'F',0
348,148481,'F',0
349,141305,'M',0
350,145213,'M',0
351,145214,'M',0
352,155895,'F',0
353,141549,'M',0
354,117579,'M',0
355,118762,'M',0
356,117728,'F',0
357,118957,'M',0
358,117520,'F',0
359,157170,'F',0
360,144843,'F',0
361,141561,'F',0
362,115338,'F',0
363,157376,'F',0
364,115340,'M',0
365,117570,'F',0
366,118308,'F',0
367,117571,'M',0
368,117715,'F',0
369,117814,'F',0
370,149391,'F',0
