,student_ids,Grade Average 7,Grade Average 8,target
0,117553,83,86,1
1,118265,85,87,1
2,117858,79,83,1
3,116622,88,89,1
4,116270,85,85,1
5,127515,84,88,1
6,150306,85,87,1
7,117422,80,83,1
8,117541,85,80,1
9,152906,85,87,1
10,118171,84,87,1
11,135610,80,84,1
12,117435,80,81,1
13,118263,82,83,1
14,115257,84,89,1
15,118506,84,89,1
16,117835,88,88,1
17,117558,80,87,1
18,119804,83,87,1
19,124316,76,74,1
20,115273,80,81,1
21,117468,89,88,1
22,148451,84,88,1
23,117560,85,88,1
24,117561,81,87,1
25,116672,81,85,1
26,131340,85,88,1
27,117916,84,80,1
28,123726,78,86,1
29,117562,85,86,1
30,118471,80,87,1
31,118147,78,82,1
32,117122,84,86,1
33,117563,74,78,1
34,125558,79,85,1
35,118502,80,86,1
36,141419,82,88,1
37,116062,85,87,1
38,143681,87,88,1
39,118798,85,87,1
40,113361,84,89,1
41,116744,88,89,1
42,146702,87,86,1
43,117665,85,88,1
44,118247,81,83,1
45,118503,76,80,1
46,118019,86,88,1
47,127392,83,88,1
48,117424,77,79,1
49,117582,86,85,1
50,127172,81,83,1
51,134673,85,85,1
52,122317,84,85,1
53,120456,79,87,1
54,118031,85,89,1
55,117483,0,85,1
56,119553,83,88,1
57,117464,85,88,1
58,120503,89,89,1
59,140852,89,90,1
60,115360,81,83,1
61,117692,89,89,1
62,155847,0,89,1
63,127512,79,79,1
64,117585,81,84,1
65,117897,83,84,1
66,123065,76,77,1
67,126850,84,88,1
68,118782,83,85,1
69,117512,78,83,1
70,145447,80,83,1
71,117861,82,86,1
72,122926,81,86,1
73,117761,81,84,1
74,122794,79,80,1
75,117419,81,88,1
76,143862,85,88,1
77,117917,81,82,1
78,139896,78,87,1
79,117646,86,87,1
80,131475,81,84,1
81,117599,81,87,1
82,118223,82,87,1
83,118224,86,88,1
84,117465,86,88,1
85,148751,85,88,1
86,116757,77,81,1
87,122019,71,79,1
88,123629,83,84,1
89,122952,83,88,1
90,123118,80,86,1
91,128797,81,88,1
92,128218,78,87,1
93,118374,81,81,1
94,119257,88,89,1
95,117848,85,84,1
96,117824,84,85,1
97,115457,81,87,1
98,136556,84,89,1
99,124809,84,84,1
100,118186,86,85,1
101,117522,85,89,1
102,117684,83,86,1
103,122134,83,84,1
104,126769,86,88,1
105,126653,83,88,1
106,122871,79,88,1
107,117875,86,88,1
108,116646,81,88,1
109,143054,83,81,1
