,id,Grade 7 Attendance,Grade 8 Attendance
0,00117553,[['Absent 7']],"[['Absent/Family Trip 5', 'Hospitalized/Medical 7']]"
1,00118265,"[['Absent 2', 'Hospitalized/Medical 2']]","[['Absent 9', 'Tardy 9']]"
2,00117858,"[['Absent 5', 'Tardy 12']]","[['Absent 10', 'Excused Late: Medical/School-Linked Professional 1', 'Hospitalized/Medical 2', 'Tardy 12']]"
3,00116622,[['Absent 8']],[['Tardy 1']]
4,00116270,[[]],"[['Absent 5', 'Tardy 16']]"
5,00127515,"[['Absent 1', 'Hospitalized/Medical 4']]","[['Absent 3', 'Hospitalized/Medical 3']]"
6,00150306,"[['Absent 6', 'Absent Full Day/Suspension 3', 'Hospitalized/Medical 1', 'Tardy 2']]","[['Absent 3', 'Absent Full Day/Suspension 5', 'Excused Late: School-Linked Professional Services 1', 'Tardy 1']]"
7,00117422,"[['Absent 1', 'Hospitalized/Medical 1']]",[['Hospitalized/Medical 2']]
8,00117541,[['Tardy 1']],[['Tardy 11']]
9,00152906,"[['Absent 5', 'Hospitalized/Medical 1']]",[['Absent 4']]
10,00118171,[['Absent 6']],"[['Absent 2', 'Hospitalized/Medical 2', 'Tardy 1']]"
11,00135610,"[['Absent 3', 'Hospitalized/Medical 1']]","[['Absent 13', 'Hospitalized/Medical 1', 'Tardy 1']]"
12,00117435,[['Absent 2']],"[['Absent 7', 'Hospitalized/Medical 1', 'Tardy 2']]"
13,00118263,"[['Absent 1', 'Tardy 2']]","[['Absent 2', 'Tardy 7']]"
14,00115257,[['Tardy 1']],[['Absent 2']]
15,00118506,[['Absent 1']],[[]]
16,00117835,"[['Absent 3', 'Hospitalized/Medical 2']]","[['Absent 2', 'Hospitalized/Medical 5']]"
17,00117558,"[['Absent 2', 'Excused Late: School-Linked Professional Services 1']]","[['Absent 5', 'Tardy 11']]"
18,00119804,[['Absent 1']],[[]]
19,00124316,"[['Absent 3', 'Tardy 1']]","[['Absent 4', 'Tardy 13']]"
20,00115273,"[['Absent 2', 'Tardy 1']]",[['Absent 4']]
21,00117468,[['Absent 1']],"[['Absent 3', 'Hospitalized/Medical 1', 'Tardy 1']]"
22,00148451,[['Absent 1']],[['Tardy 1']]
23,00117560,[['Tardy 1']],"[['Absent 2', 'Hospitalized/Medical 1']]"
24,00117561,[[]],[['Hospitalized/Medical 2']]
25,00116672,"[['Absent 8', 'Excused Late: Medical/School-Linked Professional 1', 'Hospitalized/Medical 2', 'Tardy 14']]",[['Tardy 10']]
26,00131340,[[]],"[['Absent 1', 'Hospitalized/Medical 1', 'Tardy 2']]"
27,00117916,"[['Absent 1', 'Excused Absent Religion/Take Child to Work 1', 'Tardy 9']]","[['Absent 3', 'Hospitalized/Medical 4', 'Tardy 18']]"
28,00123726,"[['Absent 10', 'Tardy 5']]","[['Absent 13', 'Absent/Family Trip 3', 'Tardy 16']]"
29,00117562,[['Absent 12']],"[['Absent 7', 'Tardy 2']]"
30,00118471,"[['Absent 5', 'Tardy 1']]","[['Absent 7', 'Tardy 1']]"
31,00118147,"[['Absent 5', 'Tardy 1']]","[['Absent 2', 'Hospitalized/Medical 1', 'Tardy 18']]"
