,id,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Commnet_8
0,00117553,"['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],['Demonstrates outstanding effort--']
1,00118265,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
2,00117858,['Incomplete work--'],['Poor test scores--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete work--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],[''],['']
3,00116622,"['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--'],[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
4,00116270,['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete work--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--']
5,00127515,['Need put more effort for Chinese'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
6,00150306,['Unprepared for class--Pobre preparacion para la clase.'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Late work = points off --'],[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
7,00117422,['Demonstrates outstanding effort--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Good work. Satisfactory'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
8,00117541,['Inattentiveness in class--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
9,00152906,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Poor test scores--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
10,00118171,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
11,00135610,"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
12,00117435,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']",['Poor test scores--']
13,00118263,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Need put more effort for Chinese'],['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']"
14,00115257,['Demonstrates outstanding effort--'],"['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
15,00118506,"['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
16,00117835,"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
17,00117558,['Incomplete work--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],[''],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--']
18,00119804,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],[''],['Demonstrates outstanding effort--']
19,00124316,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Inattentiveness in class--'],[''],['Inattentiveness in class--'],[''],['Incomplete homework--'],['Poor test scores--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
20,00115273,['Demonstrates outstanding effort--'],"['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Poor test scores--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
21,00117468,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--'],"['Demonstrates above average ability, motivation and attitude in this class--']"
22,00148451,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--'],['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--'],[''],"['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--']
23,00117560,['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--'],[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
24,00117561,['In danger of failing.'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']"
25,00116672,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']",['Good work. Satisfactory']
26,00131340,"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],[''],['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
