,id,Grade 7 Grades,Grade 8 Grades
0,00117553,"[' B+ ', ' A ', ' B+ ', '   ', ' A+ ', ' A ', ' A+ ', ' A ']","[' A ', ' A ', ' P ', ' A+ ', ' A ', ' A ', ' A+ ', ' A ', ' A ']"
1,00118265,"[' A ', ' A+ ', ' P ', ' A+ ', ' A+ ', ' A ', ' B+ ', ' P ', ' A ']","[' B+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ']"
2,00117858,"[' B+ ', ' B+ ', ' A ', '   ', ' A ', ' B+ ', ' A ', ' C+ ']","[' B ', ' B+ ', ' A+ ', ' B+ ', ' C+ ', ' B+ ', ' A+ ', ' A ', ' B+ ', ' A ']"
3,00116622,"[' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' P ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
4,00116270,"[' A ', ' A ', ' B+ ', '   ', '   ', ' A+ ', ' A ', ' A+ ', ' A ', ' A ']","[' A ', ' C+ ', ' P ', ' P ', ' A+ ', ' A ', ' A+ ', ' A ', ' A+ ', ' A+ ']"
5,00127515,"[' B+ ', ' A ', ' A ', '   ', '   ', ' B+ ', ' A ', ' A ', ' A ', ' A ']","[' A+ ', ' A ', ' P ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ']"
6,00150306,"[' B ', ' A+ ', ' A ', ' A+ ', ' B+ ', ' A ', '   ', ' A ', ' A+ ']","[' A ', ' B+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ']"
7,00117422,"[' B ', ' B ', ' B+ ', '   ', '   ', ' A+ ', ' C+ ', ' B+ ', ' B+ ', ' A+ ']","[' C ', ' A ', ' B+ ', ' A ', ' D ', ' A ', ' A+ ', ' A ', ' A ', ' A+ ']"
8,00117541,"[' B+ ', ' B+ ', ' A+ ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A+ ', ' A ']","[' B ', ' C+ ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' B+ ', ' B+ ']"
9,00152906,"[' B+ ', ' B ', ' A ', ' B+ ', '   ', '   ', ' A+ ', ' A ', ' B+ ', ' A+ ', ' B+ ', ' A+ ']","[' A ', ' A+ ', ' A ', ' A ', ' A ', ' A ', ' A+ ', ' A+ ', ' B+ ']"
10,00118171,"[' B+ ', '   ', ' A+ ', ' B+ ', ' A+ ', ' A ', ' A ', ' P ', ' A+ ']","[' A ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ']"
