,id,ELA_7,Math_7,ELA_8,Math_8
0,00117553,[' 4 '],[' 4 '],[' 5 '],[' 5 ']
1,00118265,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
2,00117858,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
3,00116622,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
4,00116270,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
5,00127515,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
6,00150306,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
7,00117422,[' 2 '],[' 2 '],[' 3 '],[' 3 ']
8,00117541,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
9,00152906,[' 3 '],[' 3 '],[' 4 '],[' 3 ']
10,00118171,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
11,00135610,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
12,00117435,[' 5 '],[' 2 '],[' 5 '],[' 2 ']
13,00118263,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
14,00115257,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
15,00118506,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
16,00117835,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
17,00117558,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
18,00119804,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
19,00124316,[' 3 '],[' 3 '],[' 2 '],[' 2 ']
20,00115273,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
21,00117468,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
22,00148451,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
23,00117560,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
24,00117561,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
25,00116672,[' 1 '],[' 2 '],[' 1 '],[' 4 ']
26,00131340,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
27,00117916,[' 5 '],[' 4 '],[' 4 '],[' 3 ']
28,00123726,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
29,00117562,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
30,00118471,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
31,00118147,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
32,00117122,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
33,00117563,[' 3 '],[' 2 '],[' 3 '],[' 1 ']
34,00125558,[' 4 '],[' 4 '],[' 4 '],[' 3 ']
35,00118502,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
36,00141419,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
37,00116062,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
38,00143681,[' 5 '],[' 5 '],[' 5 '],[' 4 ']
39,00118798,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
40,00113361,[' 3 '],[' 2 '],[' 1 '],[' 2 ']
41,00116744,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
42,00146702,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
43,00117665,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
44,00118247,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
45,00118503,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
46,00118019,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
47,00127392,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
48,00117424,[' 4 '],[' 3 '],[' 3 '],[' 3 ']
49,00117582,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
50,00127172,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
51,00134673,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
52,00122317,[' 5 '],[' 3 '],[' 5 '],[' 3 ']
53,00120456,[' 2 '],[' 3 '],[' 4 '],[' 4 ']
54,00118031,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
55,00117483,[],[],[' 4 '],[' 4 ']
56,00119553,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
57,00117464,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
58,00120503,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
59,00140852,[' 4 '],[' 4 '],[' 4 '],[' 5 ']
60,00115360,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
61,00117692,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
62,00155847,[],[],[' 5 '],[' 5 ']
63,00127512,[' 3 '],[' 4 '],[' 3 '],[' 4 ']
64,00117585,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
65,00117897,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
66,00123065,[' 4 '],[' 2 '],[' 3 '],[' 3 ']
67,00126850,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
68,00118782,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
69,00117512,[' 4 '],[' 3 '],[],[]
70,00145447,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
71,00117861,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
72,00122926,[' 5 '],[' 3 '],[' 4 '],[' 4 ']
73,00117761,[' 3 '],[' 3 '],[' 3 '],[' 4 ']
74,00122794,[' 3 '],[' 4 '],[' 4 '],[' 4 ']
75,00117419,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
76,00143862,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
77,00117917,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
78,00139896,[' 3 '],[' 3 '],[' 4 '],[' 4 ']
