,student_ids,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,target
0,117553,4,4,5,5,1
1,118265,5,5,5,5,1
2,117858,4,5,4,4,1
3,116622,5,5,5,5,1
4,116270,4,5,4,4,1
5,127515,4,5,4,5,1
6,150306,4,4,4,4,1
7,117422,2,2,3,3,1
8,117541,4,5,4,5,1
9,152906,3,3,3,4,1
10,118171,3,4,4,4,1
11,135610,4,5,4,5,1
12,117435,2,5,2,5,1
13,118263,3,4,4,5,1
14,115257,4,5,4,5,1
15,118506,4,5,5,5,1
16,117835,3,5,4,5,1
17,117558,3,4,3,4,1
18,119804,4,5,4,5,1
19,124316,3,3,2,2,1
20,115273,3,4,3,4,1
21,117468,4,5,5,5,1
22,148451,3,4,4,4,1
23,117560,4,5,5,5,1
24,117561,4,4,4,4,1
25,116672,2,1,4,1,1
26,131340,4,5,4,5,1
27,117916,4,5,3,4,1
28,123726,4,4,4,4,1
29,117562,3,4,4,5,1
30,118471,4,4,4,4,1
31,118147,3,4,2,4,1
32,117122,4,5,4,4,1
33,117563,2,3,1,3,1
34,125558,4,4,3,4,1
35,118502,4,4,4,4,1
36,141419,3,4,4,4,1
37,116062,4,5,4,5,1
38,143681,5,5,4,5,1
39,118798,4,4,4,4,1
40,113361,2,3,2,1,1
41,116744,4,5,5,5,1
42,146702,3,4,4,5,1
43,117665,3,4,4,4,1
44,118247,3,4,3,4,1
45,118503,3,4,2,4,1
46,118019,4,5,4,5,1
47,127392,4,4,4,4,1
48,117424,3,4,3,3,1
49,117582,3,5,4,5,1
50,127172,5,5,5,5,1
51,134673,4,4,4,5,1
52,122317,3,5,3,5,1
53,120456,3,2,4,4,1
54,118031,4,5,5,5,1
55,117483,0,0,4,4,1
56,119553,4,5,4,5,1
57,117464,5,5,5,5,1
58,120503,4,5,4,5,1
59,140852,4,4,5,4,1
60,115360,4,4,4,4,1
61,117692,4,5,4,5,1
62,155847,0,0,5,5,1
63,127512,4,3,4,3,1
64,117585,3,4,4,5,1
65,117897,4,4,4,5,1
66,123065,2,4,3,3,1
67,126850,4,5,4,5,1
68,118782,4,5,4,4,1
69,117512,3,4,0,0,1
70,145447,3,5,4,5,1
71,117861,4,4,4,4,1
72,122926,3,5,4,4,1
73,117761,3,3,4,3,1
74,122794,4,3,4,4,1
75,117419,3,4,4,5,1
76,143862,3,5,4,5,1
77,117917,3,4,3,4,1
78,139896,3,3,4,4,1
79,117646,4,5,4,5,1
80,131475,3,4,3,4,1
81,117599,3,4,4,4,1
82,118223,4,5,4,4,1
83,118224,5,5,5,5,1
84,117465,5,5,5,5,1
85,148751,4,5,4,5,1
86,116757,2,2,2,2,1
87,122019,3,4,4,4,1
88,123629,4,5,4,4,1
89,122952,4,5,5,5,1
90,123118,3,5,4,4,1
91,128797,3,4,3,4,1
92,128218,4,5,5,5,1
93,118374,4,5,4,5,1
94,119257,5,5,5,5,1
95,117848,5,5,4,5,1
96,117824,4,4,4,4,1
97,115457,4,4,4,5,1
98,136556,4,4,4,4,1
99,124809,5,4,5,4,1
100,118186,4,5,4,4,1
101,117522,4,5,4,5,1
102,117684,4,5,4,5,1
103,122134,4,4,4,4,1
104,126769,4,4,4,4,1
105,126653,4,4,4,4,1
106,122871,4,5,5,5,1
107,117875,4,5,4,5,1
108,116646,4,4,4,5,1
109,143054,5,5,5,5,1
110,122097,3,4,4,4,1
111,117976,4,5,5,5,1
112,116412,2,4,3,5,1
113,122140,4,5,4,5,1
114,137955,5,5,5,5,1
115,117619,3,4,4,5,1
116,123030,3,4,4,5,1
117,117617,3,4,2,4,1
118,117674,4,4,4,4,1
119,117725,5,5,5,5,1
120,118500,4,5,4,5,1
121,117622,4,4,4,4,1
122,142855,3,4,4,3,1
123,122869,4,4,4,4,1
124,134904,3,3,4,3,1
