,id,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Commnet_8
0,00117857,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Student can show more effort.- Estudiante puede mostrar mejor esfuerzo.'],['']
1,00132134,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Inattentiveness in class--'],['Unprepared for class--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete work--'],['Incomplete work--'],['Conscientious about classroom responsibilities--']
2,00124402,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Improvement noted--'],['Unprepared for class--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Poor test scores--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
3,00118270,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--']
4,00139405,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Inattentiveness in class--'],['Jovanni needs extra help both in content and time management. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Jovanni to jmoreno@ucboe.us.-- Jovanni necesita ayuda adicional tanto en el contenido como en la gestión del tiempo. Se ofrece tutoría después de la escuela y mi puerta siempre está abierta para ayudar. Comuníquese conmigo si tiene preguntas específicas sobre Jovanni a jmoreno@ucboe.us.'],['']
5,00117713,['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
6,00115228,['Unprepared for class--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Poor class attendance--'],['Improvement noted--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Parent conference requested--']
7,00127545,['Inattentiveness in class--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Inattentiveness in class--'],[''],['Incomplete homework--'],[''],['Improvement noted--'],['']
8,00140285,[''],"['Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Inattentiveness in class--'],[''],"['Demonstrates above average ability, motivation and attitude in this class--']",['Incomplete work--IXL'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
9,00127477,"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']"
10,00159804,['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[]
