,id,Grade 7 Grades,Grade 8 Grades
0,00117857,"[' B ', ' B ', ' B+ ', ' A ', ' B+ ']","[' C+ ', ' A+ ', ' D ', ' P ', ' A ', ' C ', ' B ', ' B ', ' A ', ' B ']"
1,00132134,"[' C ', ' B ', ' C ', '   ', ' A+ ', ' C ', ' C+ ', ' C+ ', ' B ']","[' 77 5 Jose Marti Freshman Academy', ' 75 5 Jose Marti Freshman Academy', ' 67 5 Jose Marti Freshman Academy', ' 8', ' 82 5 Jose Marti Freshman Academy', ' 6']"
2,00124402,[],[]
3,00118270,"[' A ', ' B+ ', ' 94 ', ' B+ ', '   ', '   ', ' A ', ' B+ ', ' B+ ', ' B+ ', ' A ']","[' A ', ' A+ ', ' B+ ', ' B+ ', ' P ', ' A ', ' A ', ' A ', ' A ', ' A ', ' A ']"
4,00139405,"[' F ', ' C ', ' C ', ' C+ ', ' C ', ' C+ ', ' B+ ']","[' F ', ' C ', ' D ', ' F ', ' C ', ' P ', ' P ', ' B ', ' D ', ' D ', ' C ', ' B+ ', ' A ', ' B+ ']"
5,00117713,"[' C+ ', ' C ', ' B ', '   ', ' A ', ' B ', ' B+ ', ' A ']","[' A ', ' B ', ' B ', ' P ', ' P ', ' A+ ', ' B ', ' B+ ', ' B+ ', ' A ', ' A ']"
6,00115228,"[' B ', ' B ', '   ', '   ', ' A+ ', ' A ', ' B+ ', ' B ', ' A ', ' B+ ']","[' C+ ', ' B+ ', ' P ', ' A+ ', ' A ', ' B+ ', ' C ', ' B ', ' A ']"
7,00127545,"['   ', ' C+ ', ' B+ ', ' A ', ' A+ ', ' C+ ', ' B+ ', ' A ', ' A ']","[' F ', ' B ', ' C+ ', ' A ', ' A+ ', ' D ', ' C+ ', ' A ', ' B+ ']"
8,00140285,"[' C ', ' A ', ' D ', ' B+ ', ' F ', ' C+ ', '   ', '   ', ' A+ ', ' C ', ' C ', ' B+ ', ' B+ ', ' A ']","[' C+ ', ' C+ ', ' A+ ', '   ', ' C+ ', ' P ', ' P ', ' A ', ' C+ ', ' B ', ' A ', ' A+ ']"
9,00127477,"[' B+ ', ' B+ ', ' B+ ', '   ', '   ', ' A+ ', ' C+ ', ' A ', ' A ', ' B+ ']","[' B ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' A+ ', ' A ', ' A ', ' A+ ']"
10,00159804,[],[]
11,00156972,[],"[' D ', ' B+ ', ' C ', ' A+ ', ' F ', ' C+ ', ' P ', ' B+ ', ' C+ ', '   ', ' C+ ', ' A ', ' A ']"
12,00117461,"[' B ', ' B+ ', ' B ', ' A ', ' A+ ', ' B ', ' B ', ' B+ ']","[' B+ ', ' B ', ' B+ ', ' P ', ' P ', ' A ', ' A ', ' B+ ', ' A+ ', ' A ', ' A ']"
13,00146152,"[' B ', ' A ', ' B+ ', ' B ', '   ', ' A+ ', ' B ', ' B ', ' A ', ' A ']","[' C+ ', ' A+ ', ' B ', ' B ', ' P ', ' A+ ', ' B ', ' B ', ' A+ ']"
14,00138274,"[' F ', ' A+ ', ' A ', ' A+ ', ' D ', ' C ', ' C ', ' P ', ' C+ ']","[' D ', ' D ', ' C+ ', ' A+ ', ' A+ ', ' D ', ' B ', ' A ', ' B ']"
15,00147010,"[' F ', ' C ', ' A+ ', ' D ', ' P ', ' A+ ', ' F ', ' B+ ', ' C+ ', ' A ']","[' C ', ' C ', ' C ', ' A+ ', ' A+ ', ' C+ ', ' B ', ' B+ ', ' B ']"
16,00118123,[],[]
17,00116828,"[' A ', ' B+ ', ' A ', '   ', '   ', ' A+ ', ' B+ ', ' A ', ' A ']","[' B+ ', ' B+ ', ' P ', ' A ', ' B+ ', ' B+ ', ' A+ ', ' A ', ' A ']"
18,00140119,"[' B+ ', ' B ', ' B+ ', ' B+ ', '   ', '   ', ' A+ ', ' B+ ', ' B ', ' A+ ', ' A ', ' A+ ']","[' B+ ', ' B+ ', ' A+ ', '   ', ' B+ ', ' P ', ' P ', ' B+ ', ' A+ ', ' A ', ' A+ ', ' A+ ']"
19,00118030,"[' C+ ', '   ', '   ', '   ', ' C ', ' P ', ' A+ ', ' A+ ', ' B ', ' B+ ', ' P ', ' A ']","[' C+ ', ' A ', ' B ', ' A ', ' A+ ', ' C+ ', ' B ', ' A ', ' A+ ']"
