,id,ELA_7,Math_7,ELA_8,Math_8
0,00117857,[' 4 '],[' 4 '],[' 3 '],[' 3 ']
1,00132134,[' 3 '],[' 2 '],[],[]
2,00124402,[],[],[],[]
3,00118270,[' 4 '],[' 3 '],[' 5 '],[' 3 ']
4,00139405,[' 2 '],[' 2 '],[' 2 '],[' 1 ']
5,00117713,[' 4 '],[' 3 '],[' 3 '],[' 4 ']
6,00115228,[' 1 '],[' 1 '],[' 1 '],[' 2 ']
7,00127545,[' 4 '],[' 3 '],[' 3 '],[' 3 ']
8,00140285,[' 2 '],[' 2 '],[' 3 '],[' 2 ']
9,00127477,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
10,00159804,[],[],[],[]
11,00156972,[],[],[],[' 3 ']
12,00117461,[' 4 '],[' 3 '],[' 3 '],[' 3 ']
13,00146152,[],[],[],[]
14,00138274,[' 1 '],[' 2 '],[' 2 '],[' 1 ']
15,00147010,[' 1 '],[' 2 '],[' 1 '],[' 2 ']
16,00118123,[],[],[],[]
17,00116828,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
18,00140119,[' 3 '],[' 2 '],[' 2 '],[' 4 ']
19,00118030,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
20,00156525,[],[],[],[' 1 ']
21,00131454,[' 3 '],[' 4 '],[' 4 '],[' 4 ']
22,00118354,[' 4 '],[' 4 '],[' 3 '],[' 3 ']
23,00151503,[' 3 '],[' 2 '],[' 4 '],[' 3 ']
24,00124159,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
25,00144663,[' 4 '],[' 4 '],[' 3 '],[' 2 ']
26,00121844,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
27,00145508,[' 3 '],[' 2 '],[' 3 '],[' 2 ']
28,00145507,[' 3 '],[' 2 '],[' 1 '],[' 1 ']
29,00117510,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
30,00115256,[],[],[' 1 '],[' 3 ']
31,00115258,[' 4 '],[' 2 '],[' 4 '],[' 3 ']
32,00152299,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
33,00117542,[' 3 '],[' 2 '],[' 3 '],[' 2 ']
34,00117543,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
35,00115764,[' 3 '],[' 3 '],[' 3 '],[' 3 ']
36,00117097,[' 3 '],[' 2 '],[],[]
37,00122088,[' 2 '],[' 2 '],[' 2 '],[' 2 ']
38,00144403,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
39,00158817,[],[],[],[]
40,00123855,[' 3 '],[' 3 '],[' 3 '],[' 3 ']
41,00115263,[' 2 '],[' 2 '],[],[]
42,00157768,[],[],[],[]
43,00118062,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
44,00118074,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
45,00149029,[' 1 '],[' 2 '],[' 1 '],[' 2 ']
46,00145281,[' 2 '],[' 2 '],[' 2 '],[' 1 ']
47,00159259,[],[],[],[]
48,00116296,[' 3 '],[' 2 '],[],[]
49,00117843,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
50,00160117,[],[],[],[]
51,00117879,[' 2 '],[' 2 '],[' 3 '],[' 1 ']
52,00115280,[' 3 '],[' 2 '],[' 4 '],[' 1 ']
53,00123511,[' 2 '],[' 1 '],[' 1 '],[' 1 ']
54,00144308,[],[],[],[]
55,00122283,[' 3 '],[' 1 '],[' 2 '],[' 1 ']
56,00118022,[],[],[],[]
57,00143480,[' 1 '],[' 2 '],[' 2 '],[' 1 ']
58,00117894,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
59,00116304,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
60,00136097,[],[],[],[]
61,00118478,[' 4 '],[' 3 '],[' 4 '],[' 1 ']
62,00122098,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
63,00159022,[],[],[],[]
64,00160755,[],[],[],[]
65,00117056,[' 4 '],[' 3 '],[' 3 '],[' 3 ']
66,00159053,[],[],[],[]
67,00142754,[' 3 '],[' 2 '],[' 3 '],[' 1 ']
68,00117564,[' 1 '],[' 2 '],[' 1 '],[' 1 ']
69,00155934,[],[],[],[' 3 ']
70,00159366,[],[],[],[]
71,00132303,[' 3 '],[' 3 '],[' 4 '],[' 3 ']
72,00153054,[' 4 '],[' 3 '],[' 4 '],[' 1 ']
73,00121560,[' 3 '],[' 2 '],[' 4 '],[' 2 ']
74,00117565,[' 2 '],[' 2 '],[' 3 '],[' 2 ']
75,00118507,[' 4 '],[' 2 '],[' 4 '],[' 2 ']
76,00117729,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
77,00117900,[' 3 '],[' 3 '],[' 3 '],[' 2 ']
78,00157280,[],[],[],[]
79,00141762,[' 4 '],[' 2 '],[' 4 '],[' 1 ']
80,00132806,[' 4 '],[' 2 '],[' 3 '],[' 4 ']
81,00115952,[],[],[],[]
82,00135149,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
83,00158926,[],[],[],[]
84,00117567,[' 4 '],[' 2 '],[' 5 '],[' 3 ']
85,00126687,[' 3 '],[' 3 '],[' 4 '],[' 4 ']
86,00145724,[' 3 '],[' 2 '],[' 2 '],[' 2 ']
87,00159123,[],[],[],[]
88,00134935,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
89,00154855,[],[' 1 '],[],[]
90,00118262,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
91,00151264,[' 3 '],[' 2 '],[' 3 '],[' 2 ']
92,00131386,[' 4 '],[' 4 '],[' 4 '],[' 3 ']
93,00154708,[],[' 1 '],[' 1 '],[' 1 ']
94,00119652,[' 4 '],[' 3 '],[' 3 '],[' 3 ']
95,00160853,[],[],[],[]
96,00155853,[],[],[],[' 3 ']
97,00118637,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
98,00132257,[' 2 '],[' 2 '],[' 1 '],[' 3 ']
99,00123735,[' 4 '],[' 4 '],[' 4 '],[' 3 ']
100,00156661,[],[],[' 3 '],[' 2 ']
101,00153244,[],[' 1 '],[' 2 '],[' 1 ']
102,00117575,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
103,00126766,[],[],[],[]
104,00141764,[' 1 '],['ias Jordany 7 '],[' 2 '],['ias Jordany 8 ']
105,00126373,[' 4 '],[' 2 '],[],[]
106,00115319,[' 3 '],[' 2 '],[' 2 '],[' 1 ']
107,00141460,[' 2 '],[' 1 '],[' 2 '],[' 1 ']
108,00118842,[' 4 '],[' 4 '],[' 4 '],[' 3 ']
109,00136615,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
110,00150086,[' 1 '],[' 1 '],[' 1 '],[' 1 ']
111,00131614,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
112,00115883,[' 3 '],[' 4 '],[],[]
113,00118066,[' 4 '],[' 2 '],[' 3 '],[' 1 ']
114,00118070,[' 2 '],[' 1 '],[' 2 '],[' 1 ']
115,00131197,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
116,00160302,[],[],[],[]
117,00118029,[' 4 '],[' 2 '],[' 4 '],[' 1 ']
118,00138419,[' 3 '],[' 3 '],[' 3 '],[' 2 ']
119,00115326,[' 4 '],[' 3 '],[' 3 '],[' 2 ']
120,00127059,[],[],[' 5 '],[' 4 ']
121,00157102,[],[],[' 3 '],[' 2 ']
122,00117809,[' 5 '],[' 3 '],[' 4 '],[' 2 ']
123,00116736,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
124,00116873,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
125,00144769,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
126,00118809,[' 4 '],[' 3 '],[' 2 '],[' 1 ']
127,00118248,[' 4 '],[' 2 '],[' 4 '],[' 2 ']
128,00117578,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
129,00118076,[' 5 '],[' 3 '],[' 5 '],[' 2 ']
130,00148481,[' 3 '],[' 2 '],[' 3 '],[' 3 ']
131,00141305,[' 1 '],[' 2 '],[' 2 '],[' 2 ']
132,00145213,[' 1 '],[' 1 '],[' 2 '],[' 1 ']
133,00145214,[' 3 '],[' 4 '],[' 5 '],[' 4 ']
134,00155895,[],[],[' 1 '],[' 1 ']
135,00141549,[' 2 '],[' 3 '],[' 3 '],[' 4 ']
136,00117579,[],[],[],[]
137,00118762,[' 5 '],[' 4 '],[' 3 '],[' 4 ']
138,00117728,[' 4 '],[' 4 '],[' 5 '],[' 5 ']
139,00118957,[' 3 '],[' 3 '],[' 1 '],[' 1 ']
