,student_ids,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Comment_8,target
0,117553,83,86,4,4,5,5,7,0,5,0,'M',"'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'','Conscientious about classroom responsibilities--','Demonstrates outstanding effort--',1
1,118265,85,87,5,5,5,5,2,0,9,9,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",'','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1
2,117858,79,83,4,5,4,4,5,12,10,12,'F','Incomplete work--','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'','','',1
3,116622,88,89,5,5,5,5,8,0,0,1,'M',"'Demonstrates above average ability, motivation and attitude in this class--'",'','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--','',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",1
4,116270,85,85,4,5,4,4,0,0,5,16,'F','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',1
5,127515,84,88,4,5,4,5,1,0,3,0,'F','Need put more effort for Chinese',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",'',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1
6,150306,85,87,4,4,4,4,3,2,5,1,'M','Unprepared for class--Pobre preparacion para la clase.',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Late work = points off --','','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1
7,117422,80,83,2,2,3,3,1,0,0,0,'F','Demonstrates outstanding effort--','',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--','',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Good work. Satisfactory',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1
8,117541,85,80,4,5,4,5,0,1,0,11,'M','Inattentiveness in class--','',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1
9,152906,85,87,3,3,3,4,5,0,4,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1
