,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,target,Absent Total,Tardy Total,Average Grade MS,Average Math Score,Average ELA Score,Num of Above Average Comments,Num of Meets Acceptable Comments,Num of Incomplete Work Comments,Num of Outstanding Effort Comments,Num of Unprepared for Class Comments,Num of Inattentive in Class Comments,Num of Poor Tests Comments,Num of Conscientious Comments,Num of Improvement Noted Comments,Num of Imcomplete Homework Comments,Num of Parent Conference Requested Comments,Num of Poor Class Attendance Comments,Num of Excessive Lateness Comments,Comments
0,83,86,4,4,5,5,7,0,5,0,'M',1,12,0,84.5,4.5,4.5,1,3,0,2,0,0,0,1,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Conscientious about classroom responsibilities.'Demonstrates above average ability, motivation and attitude in this class."
1,85,87,5,5,5,5,2,0,9,9,'M',1,11,9,86.0,5.0,5.0,1,5,0,0,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort ."
2,79,83,4,5,4,4,5,12,10,12,'F',1,15,24,81.0,4.0,4.5,0,2,2,0,0,0,1,0,0,0,0,0,0,"'Incomplete work.'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete work.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment . No Comment .'Incomplete work."
3,88,89,5,5,5,5,8,0,0,1,'M',1,8,1,88.5,5.0,5.0,2,2,0,1,0,0,0,1,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort. No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class."
4,85,85,4,5,4,4,0,0,5,16,'F',1,5,16,85.0,4.0,4.5,0,4,1,2,0,0,0,0,0,0,0,0,0,"'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete work.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort."
5,84,88,4,5,4,5,1,0,3,0,'F',1,4,0,86.0,4.0,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0,"'Need put more effort for Chinese'.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Need put more effort for Chinese'."
6,85,87,4,4,4,4,3,2,5,1,'M',1,8,3,86.0,4.0,4.0,1,3,0,0,1,0,0,1,0,0,0,0,0,"'Unprepared for class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Late work = points off . No Comment .'Conscientious about classroom responsibilities.'Unprepared for class."
7,80,83,2,2,3,3,1,0,0,0,'F',1,1,0,81.5,2.5,2.5,0,3,0,1,0,0,0,1,0,0,0,0,0,"'Demonstrates outstanding effort. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Good work. Satisfactory'.'Demonstrates outstanding effort."
8,85,80,4,5,4,5,0,1,0,11,'M',1,0,12,82.5,4.0,5.0,0,4,0,0,0,1,0,1,0,0,0,0,0,"'Inattentiveness in class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Conscientious about classroom responsibilities.'Inattentiveness in class."
9,85,87,3,3,3,4,5,0,4,0,'F',1,9,0,86.0,3.0,3.5,0,4,0,0,0,0,1,0,0,1,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
10,84,87,3,4,4,4,6,0,2,1,'F',1,8,1,85.5,3.5,4.0,1,5,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort ."
11,80,84,4,5,4,5,3,0,13,1,'F',1,16,1,82.0,4.0,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class."
12,80,81,2,5,2,5,2,0,7,2,'F',1,9,2,80.5,2.0,5.0,2,2,0,0,0,0,1,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort ."
13,82,83,3,4,4,5,1,2,2,7,'M',1,3,9,82.5,3.5,4.5,1,3,0,0,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Need put more effort for Chinese'.'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
14,84,89,4,5,4,5,0,1,2,0,'F',1,2,1,86.5,4.0,5.0,1,3,0,2,0,0,0,1,0,0,0,0,0,"'Demonstrates outstanding effort.'Demonstrates above average ability, motivation and attitude in this class.'Conscientious about classroom responsibilities.'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort."
15,84,89,4,5,5,5,1,0,0,0,'M',1,1,0,86.5,4.5,5.0,2,3,0,0,0,0,0,1,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class."
16,88,88,3,5,4,5,3,0,2,0,'F',1,5,0,88.0,3.5,5.0,2,4,0,0,0,0,0,1,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class."
17,80,87,3,4,3,4,2,0,5,11,'F',1,7,11,83.5,3.0,4.0,0,3,1,1,0,0,0,1,0,0,0,0,0,"'Incomplete work.'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete work."
18,83,87,4,5,4,5,1,0,0,0,'F',1,1,0,85.0,4.0,5.0,0,5,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
19,76,74,3,3,2,2,3,1,4,13,'F',1,7,14,75.0,2.5,2.5,0,2,0,0,0,2,1,0,0,1,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Inattentiveness in class. No Comment .'Inattentiveness in class. No Comment .'Incomplete homework.'Poor test scores.'Meets acceptable standards of cooperation, work, attitude and effort ."
20,80,81,3,4,3,4,2,1,4,0,'M',1,6,1,80.5,3.0,4.0,2,2,0,1,0,0,1,0,0,0,0,0,0,"'Demonstrates outstanding effort.'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Poor test scores. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort."
21,89,88,4,5,5,5,1,0,3,1,'M',1,4,1,88.5,4.5,5.0,3,4,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort ."
